sub_dest_x,sub_dest_y,connection_time,duration,start_x,start_y,end_x,end_y,initial_vel(x),initial_vel(y),x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,circle_obst_x,circle_obst_y,circle_obst_rad,total_cost
0,0,0,1.26491,0,0,1.2,0,0,0,0,0,0.006,0,0.024,0,0.054,0,0.096,0,0.15,0,0.216,0,0.294,0,0.384,0,0.486,0,0.6,0,0.714,0,0.816,0,0.906,0,0.984,0,1.05,0,1.104,0,1.146,0,1.176,0,1.194,0,1.2,0,0.6,0,0.5,7.02991
0.1,0,0.2,1.29015,0,0,1.2,0,0,0,0,0,0.00624178,0,0.0249671,0,0.0558164,0,0.0928904,0,0.142322,0,0.204237,0,0.278636,0,0.365518,0,0.464884,0,0.576733,0,0.694416,0,0.800526,0,0.894153,0,0.975296,0,1.04396,0,1.10013,0,1.14382,0,1.17503,0,1.19376,0,1.2,0,0.6,0,0.5,7.06651
0.0913545,0.0406737,0.2,1.31458,0,0,1.2,0,0,0,0,0,0.00592451,0.00262616,0.0236981,0.0105046,0.0527296,0.0233876,0.0883413,0.0356458,0.136707,0.0457245,0.19785,0.0536266,0.27177,0.059352,0.358467,0.0629008,0.45794,0.064273,0.570191,0.0634685,0.689434,0.0604874,0.797269,0.0553296,0.892326,0.0479952,0.974607,0.0384842,1.04411,0.027208,1.10084,0.0174131,1.14479,0.00979488,1.17596,0.00435328,1.19436,0.00108832,1.2,6.93889e-18,0.6,0,0.5,7.10132
0.0669131,0.0743145,0.2,1.37053,0,0,1.2,0,0,0,0,0,0.00473032,0.00521911,0.0189213,0.0208764,0.0415519,0.0458441,0.0720988,0.0687048,0.116127,0.087476,0.173636,0.102158,0.244625,0.11275,0.329096,0.119253,0.427048,0.121667,0.538481,0.119991,0.661104,0.114226,0.774902,0.104372,0.87522,0.0904276,0.962057,0.0723942,1.03541,0.0511176,1.09529,0.0327153,1.14168,0.0184023,1.17459,0.00817882,1.19403,0.0020447,1.2,6.93889e-18,0.6,0,0.5,7.01199
0.0309017,0.0951057,0.2,1.44432,0,0,1.2,0,0,0,0,0,0.00245386,0.00742795,0.00981545,0.0297118,0.0214231,0.0638225,0.0431747,0.0938739,0.0795915,0.118474,0.130673,0.137623,0.196421,0.151321,0.276833,0.159568,0.37191,0.162363,0.481653,0.159707,0.606061,0.1516,0.730714,0.138042,0.840703,0.119033,0.936027,0.0945723,1.01669,0.0661896,1.08268,0.0420521,1.13401,0.0233658,1.17067,0.0101307,1.19267,0.00234684,1.2,2.77556e-17,0.6,0,0.5,6.9646
-0.0104528,0.0994522,0.2,1.52892,0,0,1.2,0,0,0,0,0,-0.000966211,0.00871261,-0.00386484,0.0348505,-0.0067441,0.0727568,0.00391155,0.105207,0.0310744,0.13175,0.0747444,0.152387,0.134922,0.167118,0.211606,0.175943,0.304798,0.178861,0.414497,0.175872,0.540703,0.166978,0.677576,0.152177,0.800652,0.131469,0.907221,0.104856,0.997283,0.0738296,1.07084,0.047251,1.12788,0.0265787,1.16843,0.0118127,1.19246,0.00295319,1.2,-1.38778e-17,0.6,0,0.5,6.94516
-0.05,0.0866025,0.2,1.59817,0,0,1.2,0,0,0,0,0,-0.00492412,0.0082154,-0.0196965,0.0328616,-0.0377685,0.0671619,-0.0391549,0.0961618,-0.0221431,0.119826,0.0132668,0.138156,0.0670749,0.151149,0.139281,0.158808,0.229886,0.161131,0.338888,0.158119,0.466289,0.149771,0.611259,0.136088,0.749245,0.117069,0.868833,0.0927156,0.970023,0.0647532,1.05281,0.0411347,1.11721,0.0228515,1.1632,0.00990376,1.1908,0.00229135,1.2,2.77556e-17,0.6,0,0.5,6.90468
-0.0809017,0.0587785,0.2,1.6549,0,0,1.2,0,0,0,0,0,-0.00824904,0.0061179,-0.0329961,0.0244716,-0.0634303,0.0485188,-0.0747407,0.0685756,-0.0658465,0.0849347,-0.0367476,0.097596,0.0125559,0.10656,0.0820641,0.111826,0.171777,0.113394,0.281695,0.111264,0.411817,0.105437,0.562144,0.0959123,0.712588,0.0826897,0.842828,0.0657694,0.952864,0.0462214,1.04269,0.0295817,1.11232,0.0166397,1.16174,0.00739543,1.19096,0.00184886,1.2,-2.08167e-17,0.6,0,0.5,7.04
-0.0978148,0.0207912,0.2,1.67829,0,0,1.2,0,0,0,0,0,-0.0103058,0.00231424,-0.041223,0.00925694,-0.0787509,0.0178606,-0.0958886,0.02493,-0.0919454,0.0306393,-0.0669211,0.0349886,-0.0208159,0.0379778,0.0463703,0.0396069,0.134637,0.039876,0.243986,0.038785,0.374415,0.0363339,0.525925,0.0325227,0.683516,0.0273515,0.820542,0.0208202,0.936488,0.0139899,1.03135,0.00850109,1.10514,0.00437236,1.15784,0.00160371,1.18946,0.000195129,1.2,3.46945e-18,0.6,0,0.5,6.8887
-0.0978148,-0.0207912,0.2,1.67829,0,0,1.2,0,0,0,0,0,-0.0103058,-0.00231424,-0.041223,-0.00925694,-0.0787509,-0.0178606,-0.0958886,-0.02493,-0.0919454,-0.0306393,-0.0669211,-0.0349886,-0.0208159,-0.0379778,0.0463703,-0.0396069,0.134637,-0.039876,0.243986,-0.038785,0.374415,-0.0363339,0.525925,-0.0325227,0.683516,-0.0273515,0.820542,-0.0208202,0.936488,-0.0139899,1.03135,-0.00850109,1.10514,-0.00437236,1.15784,-0.00160371,1.18946,-0.000195129,1.2,6.93889e-18,0.6,0,0.5,6.8887
-0.0809017,-0.0587785,0.2,1.6549,0,0,1.2,0,0,0,0,0,-0.00824904,-0.0061179,-0.0329961,-0.0244716,-0.0634303,-0.0485188,-0.0747407,-0.0685756,-0.0658465,-0.0849347,-0.0367476,-0.097596,0.0125559,-0.10656,0.0820641,-0.111826,0.171777,-0.113394,0.281695,-0.111264,0.411817,-0.105437,0.562144,-0.0959123,0.712588,-0.0826897,0.842828,-0.0657694,0.952864,-0.0462214,1.04269,-0.0295817,1.11232,-0.0166397,1.16174,-0.00739543,1.19096,-0.00184886,1.2,1.38778e-17,0.6,0,0.5,7.04
-0.05,-0.0866025,0.2,1.59817,0,0,1.2,0,0,0,0,0,-0.00492412,-0.0082154,-0.0196965,-0.0328616,-0.0377685,-0.0671619,-0.0391549,-0.0961618,-0.0221431,-0.119826,0.0132668,-0.138156,0.0670749,-0.151149,0.139281,-0.158808,0.229886,-0.161131,0.338888,-0.158119,0.466289,-0.149771,0.611259,-0.136088,0.749245,-0.117069,0.868833,-0.0927156,0.970023,-0.0647532,1.05281,-0.0411347,1.11721,-0.0228515,1.1632,-0.00990376,1.1908,-0.00229135,1.2,-4.16334e-17,0.6,0,0.5,6.90468
-0.0104528,-0.0994522,0.2,1.52892,0,0,1.2,0,0,0,0,0,-0.000966211,-0.00871261,-0.00386484,-0.0348505,-0.0067441,-0.0727568,0.00391155,-0.105207,0.0310744,-0.13175,0.0747444,-0.152387,0.134922,-0.167118,0.211606,-0.175943,0.304798,-0.178861,0.414497,-0.175872,0.540703,-0.166978,0.677576,-0.152177,0.800652,-0.131469,0.907221,-0.104856,0.997283,-0.0738296,1.07084,-0.047251,1.12788,-0.0265787,1.16843,-0.0118127,1.19246,-0.00295319,1.2,1.38778e-17,0.6,0,0.5,6.94516
0.0309017,-0.0951057,0.2,1.44432,0,0,1.2,0,0,0,0,0,0.00245386,-0.00742795,0.00981545,-0.0297118,0.0214231,-0.0638225,0.0431747,-0.0938739,0.0795915,-0.118474,0.130673,-0.137623,0.196421,-0.151321,0.276833,-0.159568,0.37191,-0.162363,0.481653,-0.159707,0.606061,-0.1516,0.730714,-0.138042,0.840703,-0.119033,0.936027,-0.0945723,1.01669,-0.0661896,1.08268,-0.0420521,1.13401,-0.0233658,1.17067,-0.0101307,1.19267,-0.00234684,1.2,-2.77556e-17,0.6,0,0.5,6.9646
0.0669131,-0.0743145,0.2,1.37053,0,0,1.2,0,0,0,0,0,0.00473032,-0.00521911,0.0189213,-0.0208764,0.0415519,-0.0458441,0.0720988,-0.0687048,0.116127,-0.087476,0.173636,-0.102158,0.244625,-0.11275,0.329096,-0.119253,0.427048,-0.121667,0.538481,-0.119991,0.661104,-0.114226,0.774902,-0.104372,0.87522,-0.0904276,0.962057,-0.0723942,1.03541,-0.0511176,1.09529,-0.0327153,1.14168,-0.0184023,1.17459,-0.00817882,1.19403,-0.0020447,1.2,-1.38778e-17,0.6,0,0.5,7.01199
0.0913545,-0.0406737,0.2,1.31458,0,0,1.2,0,0,0,0,0,0.00592451,-0.00262616,0.0236981,-0.0105046,0.0527296,-0.0233876,0.0883413,-0.0356458,0.136707,-0.0457245,0.19785,-0.0536266,0.27177,-0.059352,0.358467,-0.0629008,0.45794,-0.064273,0.570191,-0.0634685,0.689434,-0.0604874,0.797269,-0.0553296,0.892326,-0.0479952,0.974607,-0.0384842,1.04411,-0.027208,1.10084,-0.0174131,1.14479,-0.00979488,1.17596,-0.00435328,1.19436,-0.00108832,1.2,0,0.6,0,0.5,7.10132
1,0,0.2,1.26491,0,0,1.2,0,0,0,0,0,0.006,0,0.024,0,0.054,0,0.096,0,0.15,0,0.216,0,0.294,0,0.384,0,0.486,0,0.6,0,0.714,0,0.816,0,0.906,0,0.984,0,1.05,0,1.104,0,1.146,0,1.176,0,1.194,0,1.2,0,0.6,0,0.5,7.02991
