sub_dest_x,sub_dest_y,connection_time,duration,start_x,start_y,end_x,end_y,initial_vel(x),initial_vel(y),x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,circle_obst_x,circle_obst_y,circle_obst_rad,total_cost
-2,0,0,1.72728,-2,0,2,0,3,0,-2,0,-1.72972,0,-1.43706,0,-1.12695,0,-0.815559,0,-0.50417,0,-0.192782,0,0.109217,0,0.388919,0,0.646244,0,0.881194,0,1.09377,0,1.28396,0,1.45178,0,1.59723,0,1.7203,0,1.82099,0,1.89931,0,1.95525,0,1.98881,0,2,0,1.4,0,0.5,6.85386
-1.9,0,0.2,1.82774,-2,0,2,0,3,0,-2,0,-1.73837,0,-1.50179,0,-1.27376,0,-1.02157,0,-0.744331,0,-0.442034,0,-0.117118,0,0.196065,0,0.484193,0,0.747267,0,0.985287,0,1.19825,0,1.38616,0,1.54902,0,1.68682,0,1.79956,0,1.88725,0,1.94989,0,1.98747,0,2,0,1.4,0,0.5,6.85547
-1.9,0,0.4,1.9848,-2,0,2,0,3,0,-2,0,-1.71705,0,-1.46365,0,-1.2398,0,-1.04549,0,-0.852958,0,-0.630912,0,-0.379321,0,-0.0981849,0,0.212495,0,0.522724,0,0.803406,0,1.05454,0,1.27613,0,1.46818,0,1.63068,0,1.76364,0,1.86705,0,1.94091,0,1.98523,0,2,0,1.4,0,0.5,6.70865
-1.9,0,0.6,2.19332,-2,0,2,0,3,0,-2,0,-1.68904,0,-1.41416,0,-1.17536,0,-0.972645,0,-0.806006,0,-0.665355,0,-0.496634,0,-0.291834,0,-0.0509529,0,0.226008,0,0.538767,0,0.845446,0,1.11604,0,1.35056,0,1.549,0,1.71136,0,1.83764,0,1.92784,0,1.98196,0,2,0,1.4,0,0.5,6.93068
-1.9,0,0.8,2.46905,-2,0,2,0,3,0,-2,0,-1.6525,0,-1.35073,0,-1.09467,0,-0.884342,0,-0.719731,0,-0.60084,0,-0.515319,0,-0.394622,0,-0.228203,0,-0.0160636,0,0.241797,0,0.545379,0,0.879832,0,1.17702,0,1.42849,0,1.63423,0,1.79425,0,1.90856,0,1.97714,0,2,0,1.4,0,0.5,3.33809
-1.90865,0.0406737,0.2,1.82774,-2,0,2,0,3,0,-2,0,-1.73837,0.000115299,-1.50179,0.000461194,-1.27376,0.000936449,-1.02157,0.0013403,-0.744326,0.00166728,-0.442027,0.0019174,-0.117111,0.00209065,0.196071,0.00218704,0.484199,0.00220655,0.747272,0.0021492,0.98529,0.00201499,1.19825,0.0018039,1.38616,0.00151595,1.54902,0.00115114,1.68682,0.00076972,1.79956,0.00046416,1.88725,0.000235466,1.94989,8.36391e-05,1.98747,8.67877e-06,2,0,1.4,0,0.5,6.85546
-1.90865,0.0406737,0.4,1.98481,-2,0,2,0,3,0,-2,0,-1.71705,0.000135968,-1.46365,0.000543871,-1.23979,0.00122371,-1.04547,0.00217548,-0.852937,0.00314365,-0.630886,0.00384013,-0.37929,0.00426468,-0.0981487,0.00441729,0.212535,0.00429797,0.522757,0.00390671,0.803433,0.00324352,1.05456,0.00230839,1.27615,0.00132562,1.46819,0.000612492,1.63069,0.000171297,1.76364,2.03788e-06,1.86705,4.33681e-19,1.94091,4.33681e-19,1.98523,4.33681e-19,2,4.33681e-19,1.4,0,0.5,6.70867
-1.90865,0.0406737,0.6,2.4,-2,0,2,0,3,0,-2,0,-1.6616,0.000198801,-1.3664,0.000795204,-1.11439,0.00178921,-0.905585,0.00318082,-0.739977,0.00497003,-0.574369,0.00675924,-0.365562,0.00815085,-0.113558,0.00914485,0.181645,0.00974125,0.520012,0.00994006,0.855996,0.00974125,1.14878,0.00914485,1.39837,0.00815085,1.60476,0.00675924,1.76795,0.00497003,1.88794,0.00318082,1.96474,0.00178921,1.99833,0.000795204,2,0.000198801,2,1.73472e-18,1.4,0,0.5,7.34406
-1.90865,0.0406737,0.8,2.46909,-2,0,2,0,3,0,-2,0,-1.6525,0.000210412,-1.35071,0.00084165,-1.09465,0.00189371,-0.884314,0.0033666,-0.719695,0.00526031,-0.600798,0.00757485,-0.515265,0.0101586,-0.394552,0.0121702,-0.228122,0.0134806,-0.0159737,0.0140895,0.241892,0.0139972,0.545476,0.0132034,0.879914,0.0117083,1.17708,0.00951185,1.42853,0.00662819,1.63426,0.0039297,1.79427,0.00193256,1.90856,0.000636777,1.97714,4.23545e-05,2,-2.60209e-18,1.4,0,0.5,3.33819
-1.93309,0.0743145,0.2,2.7491,-2,0,2,0,3,0,-2,0,-1.61597,0.000434726,-1.27179,0.00158397,-0.882653,0.00266732,-0.436839,0.00357677,0.0490503,0.00431233,0.490992,0.00487399,0.876252,0.00526176,1.20483,0.00547563,1.47673,0.0055156,1.69194,0.00538167,1.85048,0.00507384,1.95233,0.00459212,1.9975,0.0039365,2,0.00310699,2,0.00217371,2,0.00139118,2,0.000782537,2,0.000347794,2,8.69485e-05,2,4.33681e-19,1.4,0,0.5,8.52592
-1.93309,0.0743145,0.4,2.2592,-2,0,2,0,3,0,-2,0,-1.68026,0.00029359,-1.39879,0.00117436,-1.1556,0.00264231,-0.942623,0.00459851,-0.702574,0.00633993,-0.424247,0.00772902,-0.107642,0.0087658,0.246857,0.00945026,0.59407,0.00978241,0.903005,0.00976223,1.17366,0.00938974,1.40604,0.00866494,1.60014,0.00758781,1.75596,0.00615837,1.87351,0.00440396,1.95278,0.00281854,1.99376,0.00158543,2,0.000704634,2,0.000176159,2,1.73472e-18,1.4,0,0.5,7.24225
-1.93309,0.0743145,0.6,2.4,-2,0,2,0,3,0,-2,0,-1.6616,0.000331327,-1.36639,0.00132531,-1.11438,0.00298194,-0.905559,0.00530123,-0.739936,0.00828317,-0.574314,0.0112651,-0.365496,0.0135844,-0.113483,0.015241,0.181725,0.016235,0.520093,0.0165663,0.856055,0.016235,1.14882,0.015241,1.39839,0.0135844,1.60477,0.0112651,1.76795,0.00828317,1.88794,0.00530123,1.96474,0.00298194,1.99833,0.00132531,2,0.000331327,2,0,1.4,0,0.5,7.3441
