sub_dest_x,sub_dest_y,connection_time,duration,start_x,start_y,end_x,end_y,initial_vel(x),initial_vel(y),x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,circle_obst_x,circle_obst_y,circle_obst_rad,total_cost
-2,0,0,1.16025,-2,0,0,0,3,0,-2,0,-1.82091,0,-1.6356,0,-1.45891,0,-1.29233,0,-1.13583,0,-0.989437,0,-0.853137,0,-0.726933,0,-0.610826,0,-0.504815,0,-0.4089,0,-0.323081,0,-0.247359,0,-0.181733,0,-0.126204,0,-0.0807703,0,-0.0454333,0,-0.0201926,0,-0.00504815,0,8.88178e-16,0,-0.5,0,0.22,6.31414
-1.9,0,0.2,1.19629,-2,0,0,0,3,0,-2,0,-1.82592,0,-1.66258,0,-1.50997,0,-1.36347,0,-1.2075,0,-1.05187,0,-0.906968,0,-0.772801,0,-0.649368,0,-0.536668,0,-0.434701,0,-0.343467,0,-0.262967,0,-0.1932,0,-0.134167,0,-0.0858668,0,-0.0483001,0,-0.0214667,0,-0.00536668,0,2.22045e-16,0,-0.5,0,0.22,6.12964
-1.9,0,0.4,1.25144,-2,0,0,0,3,0,-2,0,-1.81816,0,-1.64806,0,-1.48971,0,-1.3431,0,-1.20824,0,-1.08513,0,-0.969427,0,-0.843791,0,-0.710612,0,-0.587283,0,-0.475699,0,-0.375861,0,-0.287769,0,-0.211422,0,-0.146821,0,-0.0939652,0,-0.0528554,0,-0.0234913,0,-0.00587283,0,3.33067e-16,0,-0.5,0,0.22,6.28799
-1.9,0,0.6,1.34309,-2,0,0,0,3,0,-2,0,-1.8053,0,-1.62413,0,-1.45649,0,-1.30238,0,-1.16179,0,-1.03474,0,-0.921216,0,-0.821221,0,-0.734698,0,-0.646462,0,-0.544697,0,-0.432935,0,-0.331466,0,-0.243526,0,-0.169115,0,-0.108234,0,-0.0608814,0,-0.0270584,0,-0.0067646,0,-5.55112e-17,0,-0.5,0,0.22,6.24809
-1.9,0,0.8,1.50921,-2,0,0,0,3,0,-2,0,-1.78216,0,-1.5814,0,-1.39773,0,-1.23114,0,-1.08163,0,-0.949202,0,-0.833859,0,-0.735598,0,-0.65442,0,-0.590325,0,-0.540601,0,-0.479976,0,-0.402269,0,-0.307489,0,-0.213534,0,-0.136662,0,-0.0768723,0,-0.0341655,0,-0.00854137,0,-1.11022e-16,0,-0.5,0,0.22,6.4442
-1.9,0,1,1.81649,-2,0,0,0,3,0,-2,0,-1.7399,0,-1.50455,0,-1.29394,0,-1.10808,0,-0.946973,0,-0.810609,0,-0.698991,0,-0.612122,0,-0.549999,0,-0.512623,0,-0.499994,0,-0.487871,0,-0.451003,0,-0.389387,0,-0.303025,0,-0.197977,0,-0.111362,0,-0.0494942,0,-0.0123735,0,-8.32667e-17,0,-0.5,0,0.22,6.75148
-1.9,0,1.2,2.3092,-2,0,0,0,3,0,-2,0,-1.67362,0,-1.38723,0,-1.14083,0,-0.934423,0,-0.768011,0,-0.641591,0,-0.555165,0,-0.508731,0,-0.50229,0,-0.535842,0,-0.594662,0,-0.619672,0,-0.60469,0,-0.549715,0,-0.454747,0,-0.319786,0,-0.179968,0,-0.0799857,0,-0.0199964,0,5.55112e-17,0,-0.5,0,0.22,7.5534
-1.9,0,1.4,2.94308,-2,0,0,0,3,0,-2,0,-1.59102,0,-1.247,0,-0.967945,0,-0.753852,0,-0.604722,0,-0.520555,0,-0.50135,0,-0.547107,0,-0.657828,0,-0.818156,0,-0.930675,0,-0.97823,0,-0.960823,0,-0.878454,0,-0.731122,0,-0.518827,0,-0.292332,0,-0.129925,0,-0.0324813,0,-1.11022e-16,0,-0.5,0,0.22,8.82116
-1.9,0,1.6,3.65142,-2,0,0,0,3,0,-2,0,-1.50228,0,-1.10457,0,-0.806843,0,-0.609116,0,-0.511385,0,-0.513651,0,-0.615912,0,-0.81817,0,-1.11484,0,-1.36984,0,-1.52484,0,-1.57985,0,-1.53485,0,-1.38987,0,-1.14489,0,-0.799906,0,-0.449983,0,-0.199992,0,-0.0499981,0,2.22045e-16,0,-0.5,0,0.22,10.2378
-1.9,0,1.8,3.95792,-2,0,0,0,3,0,-2,0,-1.46506,0,-1.0476,0,-0.747632,0,-0.565151,0,-0.500159,0,-0.552655,0,-0.722638,0,-1.01011,0,-1.3863,0,-1.67499,0,-1.84618,0,-1.89989,0,-1.83611,0,-1.65485,0,-1.35609,0,-0.939903,0,-0.528696,0,-0.234976,0,-0.058744,0,-1.11022e-16,0,-0.5,0,0.22,10.8508
