Tue Nov 15 11:33:40 2022    exec.dat

         447384 function calls (399713 primitive calls) in 4.897 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.073    3.073    4.713    4.713 {built-in method exec}
      475    0.173    0.000    0.246    0.001 /usr/lib/python3.8/enum.py:157(__new__)
       49    0.154    0.003    0.154    0.003 {method 'connect' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
        1    0.110    0.110    0.475    0.475 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/__init__.py:292(cleanup)
       60    0.085    0.001    0.751    0.013 {function GraphicsView.paintEvent at 0x7fe3ab87cf70}
  134/127    0.079    0.001    0.088    0.001 {method 'emit' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
      780    0.059    0.000    0.106    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/LegendItem.py:349(paint)
     1690    0.058    0.000    0.058    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/LegendItem.py:346(boundingRect)
154833/115710    0.052    0.000    0.362    0.000 {built-in method builtins.isinstance}
      120    0.035    0.000    0.035    0.000 {built-in method play}
     2409    0.035    0.000    0.043    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsWidget.py:48(boundingRect)
     2028    0.029    0.000    0.032    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:233(mkColor)
     1908    0.029    0.000    0.056    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:352(mkPen)
       85    0.028    0.000    0.043    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/transforms/linear.py:96(map)
        1    0.027    0.027    0.189    0.189 {built-in method show}
       18    0.027    0.001    0.027    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:165(glClear)
      265    0.027    0.000    0.027    0.000 {built-in method drawText}
       98    0.026    0.000    0.026    0.000 {built-in method resizeColumnsToContents}
     5452    0.021    0.000    0.048    0.000 /usr/lib/python3.8/enum.py:75(__setitem__)
     8693    0.021    0.000    0.023    0.000 /usr/lib/python3.8/enum.py:417(__setattr__)
      360    0.020    0.000    0.020    0.000 {method 'copy' of 'numpy.ndarray' objects}
      237    0.019    0.000    0.064    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/widgets/VerticalLabel.py:35(paintEvent)
       50    0.017    0.000    0.017    0.000 {method 'disconnect' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
        9    0.017    0.002    0.017    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:466(glFlush)
 1186/200    0.016    0.000    0.041    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:212(_RegularMessageToJsonObject)
      866    0.016    0.000    0.041    0.000 {built-in method setPos}
       64    0.015    0.000    0.016    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/transforms/_util.py:50(as_vec4)
