Tue Nov 15 11:22:36 2022    exec.dat

         402176 function calls (356651 primitive calls) in 5.170 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.415    3.415    5.055    5.055 {built-in method exec}
      475    0.157    0.000    0.242    0.001 /usr/lib/python3.8/enum.py:157(__new__)
       49    0.129    0.003    0.129    0.003 {method 'connect' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
       58    0.089    0.002    0.764    0.013 {function GraphicsView.paintEvent at 0x7f5a00a2ff70}
  132/125    0.077    0.001    0.088    0.001 {method 'emit' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
      754    0.076    0.000    0.138    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/LegendItem.py:349(paint)
     1636    0.073    0.000    0.073    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/LegendItem.py:346(boundingRect)
        1    0.066    0.066    0.473    0.473 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/__init__.py:292(cleanup)
141397/102274    0.048    0.000    0.404    0.000 {built-in method builtins.isinstance}
      475    0.041    0.000    0.341    0.001 /usr/lib/python3.8/enum.py:430(_create_)
      116    0.036    0.000    0.036    0.000 {built-in method play}
     8693    0.033    0.000    0.036    0.000 /usr/lib/python3.8/enum.py:417(__setattr__)
        1    0.031    0.031    0.122    0.122 {built-in method show}
       12    0.027    0.002    0.027    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:165(glClear)
       20    0.027    0.001    0.027    0.001 {built-in method currentThread}
     1834    0.027    0.000    0.051    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:352(mkPen)
      257    0.027    0.000    0.027    0.000 {built-in method drawText}
     1938    0.026    0.000    0.029    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:233(mkColor)
       94    0.026    0.000    0.026    0.000 {built-in method resizeColumnsToContents}
3113/3019    0.024    0.000    0.372    0.000 /usr/lib/python3.8/enum.py:313(__call__)
     5452    0.020    0.000    0.048    0.000 /usr/lib/python3.8/enum.py:75(__setitem__)
      475    0.019    0.000    0.024    0.000 /usr/lib/python3.8/enum.py:200(<setcomp>)
     1218    0.018    0.000    0.029    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:331(mkBrush)
      229    0.018    0.000    0.065    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/widgets/VerticalLabel.py:35(paintEvent)
     2333    0.018    0.000    0.027    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsWidget.py:48(boundingRect)
      830    0.017    0.000    0.044    0.000 {built-in method setPos}
    25/20    0.017    0.001    0.093    0.005 {function QtBaseCanvasBackend.event at 0x7f59e001b700}
 1140/192    0.017    0.000    0.043    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:212(_RegularMessageToJsonObject)
      116    0.016    0.000    0.277    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:342(draw_team)
       94    0.016    0.000    0.016    0.000 {built-in method resizeRowsToContents}
        9    0.016    0.002    0.016    0.002 {built-in method setStyleSheet}
       50    0.014    0.000    0.014    0.000 {method 'disconnect' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
       94    0.014    0.000    0.029    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/play/playinfo_widget.py:41(set_data)
     4502    0.014    0.000    0.016    0.000 /usr/lib/python3.8/enum.py:12(_is_descriptor)
        3    0.013    0.004    0.028    0.009 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/dockarea/Dock.py:160(updateStyle)
     5004    0.011    0.000    0.011    0.000 {built-in method __new__ of type object at 0x90b780}
      684    0.011    0.000    0.011    0.000 {built-in method drawChord}
        6    0.011    0.002    0.011    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:466(glFlush)
      348    0.011    0.000    0.024    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/ScatterPlotItem.py:76(drawSymbol)
     1786    0.009    0.000    0.009    0.000 {built-in method setItem}
     1574    0.009    0.000    0.011    0.000 {function ChildGroup.itemChange at 0x7f5a00b78ee0}
      406    0.009    0.000    0.009    0.000 {built-in method drawPath}
      184    0.008    0.000    0.011    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
5916/2004    0.008    0.000    0.028    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:276(_FieldToJsonObject)
        1    0.008    0.008    0.008    0.008 {built-in method gc.get_objects}
1574/1550    0.007    0.000    0.170    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsObject.py:21(itemChange)
       20    0.007    0.000    0.013    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/transforms/linear.py:161(_set_st)
     1140    0.007    0.000    0.007    0.000 {method 'ListFields' of 'google.protobuf.pyext._message.CMessage' objects}
     2054    0.006    0.000    0.006    0.000 {built-in method setPen}
       58    0.006    0.000    0.012    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:445(draw_robot_speeds)
      348    0.006    0.000    0.006    0.000 {built-in method drawRect}
        2    0.005    0.003    0.005    0.003 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/dockarea/DockArea.py:161(resizeEvent)
      475    0.005    0.000    0.009    0.000 /usr/lib/python3.8/enum.py:579(_find_new_)
      858    0.005    0.000    0.005    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:39(createCircle)
19018/19012    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
     8417    0.005    0.000    0.007    0.000 {built-in method builtins.getattr}
     2981    0.005    0.000    0.005    0.000 {built-in method geometry}
       96    0.005    0.000    0.129    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/play/playinfo_widget.py:71(refresh)
    23919    0.005    0.000    0.005    0.000 {built-in method builtins.len}
     5452    0.005    0.000    0.005    0.000 /usr/lib/python3.8/enum.py:22(_is_dunder)
 1140/192    0.004    0.000    0.045    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:201(_MessageToJsonObject)
        6    0.004    0.001    0.004    0.001 {built-in method swapBuffers}
     1006    0.004    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:25(boundingRect)
      187    0.004    0.000    0.006    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/LegendItem.py:319(boundingRect)
      174    0.004    0.000    0.004    0.000 {built-in method drawEllipse}
2638/2544    0.004    0.000    0.006    0.000 /usr/lib/python3.8/enum.py:631(__new__)
      636    0.004    0.000    0.011    0.000 /usr/lib/python3.8/queue.py:153(get)
     5452    0.004    0.000    0.005    0.000 /usr/lib/python3.8/enum.py:33(_is_sunder)
      406    0.004    0.000    0.004    0.000 {built-in method pixmap}
       38    0.004    0.000    0.004    0.000 {built-in method setHtml}
