Tue Nov 15 11:25:06 2022    exec.dat

         676609 function calls (618301 primitive calls) in 10.649 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7774    2.657    0.000    2.657    0.000 {built-in method numpy.core._multiarray_umath.interp}
        1    2.465    2.465    5.243    5.243 {built-in method exec}
     1184    1.393    0.001    1.393    0.001 {built-in method numpy.array}
       30    0.348    0.012    4.605    0.153 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/text/text.py:652(render_to_texture)
      960    0.191    0.000    0.191    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__freetype_py/freetype/__init__.py:1345(get_char_index)
       30    0.157    0.005    0.157    0.005 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__freetype_py/freetype/__init__.py:468(<listcomp>)
      475    0.145    0.000    0.284    0.001 /usr/lib/python3.8/enum.py:157(__new__)
       30    0.142    0.005    0.142    0.005 {vispy.visuals.text._sdf_cpu._calc_distance_field}
       49    0.132    0.003    0.132    0.003 {method 'connect' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
      462    0.128    0.000    0.155    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/transforms/linear.py:96(map)
      480    0.118    0.000    0.309    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__freetype_py/freetype/__init__.py:1575(get_kerning)
       50    0.117    0.002    0.117    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:409(glDrawArrays)
        1    0.082    0.082    0.543    0.543 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/__init__.py:292(cleanup)
    88/81    0.077    0.001    0.088    0.001 {method 'emit' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
       52    0.075    0.001    0.076    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:1126(glTexSubImage2D)
176698/137575    0.070    0.000    0.458    0.000 {built-in method builtins.isinstance}
     1417    0.068    0.000    0.068    0.000 {method 'copy' of 'numpy.ndarray' objects}
17316/9323    0.061    0.000    2.804    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      385    0.058    0.000    0.058    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:42(glBindBuffer)
      269    0.051    0.000    0.051    0.000 {method 'astype' of 'numpy.ndarray' objects}
     8693    0.049    0.000    0.052    0.000 /usr/lib/python3.8/enum.py:417(__setattr__)
      320    0.047    0.000    0.047    0.000 {method 'flatten' of 'numpy.ndarray' objects}
