Tue Nov 15 12:01:59 2022    exec.dat

         1160897 function calls (1092410 primitive calls) in 5.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.687    2.687    4.132    4.132 {built-in method exec}
      304    0.250    0.001    0.929    0.003 {function GraphicsView.paintEvent at 0x7f98c13f2f70}
     7177    0.200    0.000    0.200    0.000 {built-in method numpy.core._multiarray_umath.interp}
    20/17    0.125    0.006    0.926    0.054 {function QtBaseCanvasBackend.event at 0x7f98bc334700}
      604    0.121    0.000    0.121    0.000 {built-in method play}
      685    0.106    0.000    0.106    0.000 {built-in method numpy.array}
       28    0.061    0.002    0.061    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__freetype_py/freetype/__init__.py:468(<listcomp>)
      606    0.057    0.000    0.057    0.000 {built-in method resizeColumnsToContents}
    10014    0.048    0.000    0.051    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:233(mkColor)
     9418    0.043    0.000    0.087    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:352(mkPen)
       28    0.041    0.001    0.388    0.014 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/text/text.py:652(render_to_texture)
       28    0.040    0.001    0.040    0.001 {vispy.visuals.text._sdf_cpu._calc_distance_field}
      606    0.037    0.000    0.078    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/play/playinfo_widget.py:41(set_data)
221928/182805    0.035    0.000    0.124    0.000 {built-in method builtins.isinstance}
      692    0.031    0.000    0.031    0.000 {method 'copy' of 'numpy.ndarray' objects}
      475    0.031    0.000    0.060    0.000 /usr/lib/python3.8/enum.py:157(__new__)
      606    0.030    0.000    0.030    0.000 {built-in method resizeRowsToContents}
      604    0.030    0.000    0.222    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:342(draw_team)
     2114    0.028    0.000    0.028    0.000 {built-in method drawPath}
    11514    0.027    0.000    0.027    0.000 {built-in method setItem}
  406/399    0.025    0.000    0.034    0.000 {method 'emit' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
     3770    0.025    0.000    0.064    0.000 {built-in method setPos}
5454/1212    0.024    0.000    0.051    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:212(_RegularMessageToJsonObject)
     3624    0.024    0.000    0.024    0.000 {built-in method drawChord}
        1    0.021    0.021    0.136    0.136 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/__init__.py:292(cleanup)
     4228    0.021    0.000    0.110    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/LegendItem.py:349(paint)
     1812    0.019    0.000    0.019    0.000 {built-in method drawRect}
     6354    0.016    0.000    0.034    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:331(mkBrush)
        6    0.016    0.003    0.022    0.004 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/program.py:244(_parse_variables_from_code)
    12823    0.013    0.000    0.028    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsWidget.py:48(boundingRect)
      844    0.012    0.000    0.012    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__freetype_py/freetype/__init__.py:1345(get_char_index)
     2416    0.012    0.000    0.012    0.000 {built-in method pixmap}
    10614    0.012    0.000    0.012    0.000 {built-in method setPen}
