Tue Nov 15 12:00:56 2022    exec.dat

         1158139 function calls (1089395 primitive calls) in 4.889 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.588    2.588    3.995    3.995 {built-in method exec}
      296    0.245    0.001    0.912    0.003 {function GraphicsView.paintEvent at 0x7f7e706fcee0}
     7177    0.178    0.000    0.178    0.000 {built-in method numpy.core._multiarray_umath.interp}
      592    0.116    0.000    0.116    0.000 {built-in method play}
      734    0.110    0.000    0.110    0.000 {built-in method numpy.array}
    20/17    0.081    0.004    0.933    0.055 {function QtBaseCanvasBackend.event at 0x7f7e5d107670}
       28    0.066    0.002    0.066    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__freetype_py/freetype/__init__.py:468(<listcomp>)
      592    0.054    0.000    0.054    0.000 {built-in method resizeColumnsToContents}
       28    0.050    0.002    0.380    0.014 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/text/text.py:652(render_to_texture)
     9792    0.046    0.000    0.050    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:233(mkColor)
       28    0.043    0.002    0.043    0.002 {vispy.visuals.text._sdf_cpu._calc_distance_field}
     9220    0.042    0.000    0.085    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:352(mkPen)
      592    0.036    0.000    0.075    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/play/playinfo_widget.py:41(set_data)
      475    0.035    0.000    0.065    0.000 /usr/lib/python3.8/enum.py:157(__new__)
223944/184821    0.029    0.000    0.119    0.000 {built-in method builtins.isinstance}
      592    0.029    0.000    0.220    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:342(draw_team)
      592    0.028    0.000    0.028    0.000 {built-in method resizeRowsToContents}
     2072    0.027    0.000    0.027    0.000 {built-in method drawPath}
    11248    0.026    0.000    0.026    0.000 {built-in method setItem}
     3686    0.024    0.000    0.062    0.000 {built-in method setPos}
  370/363    0.023    0.000    0.033    0.000 {method 'emit' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
      844    0.023    0.000    0.023    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__freetype_py/freetype/__init__.py:1345(get_char_index)
5334/1188    0.023    0.000    0.048    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:212(_RegularMessageToJsonObject)
     3540    0.022    0.000    0.022    0.000 {built-in method drawChord}
     4144    0.022    0.000    0.110    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/LegendItem.py:349(paint)
        7    0.020    0.003    0.026    0.004 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/program.py:244(_parse_variables_from_code)
     1776    0.018    0.000    0.018    0.000 {built-in method drawRect}
        2    0.018    0.009    0.018    0.009 {built-in method posix.listdir}
        1    0.017    0.017    0.129    0.129 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/__init__.py:292(cleanup)
     6216    0.016    0.000    0.034    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:331(mkBrush)
15433/8088    0.015    0.000    0.219    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      422    0.015    0.000    0.038    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__freetype_py/freetype/__init__.py:1575(get_kerning)
     8693    0.014    0.000    0.015    0.000 /usr/lib/python3.8/enum.py:417(__setattr__)
      239    0.013    0.000    0.023    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/transforms/linear.py:96(map)
        1    0.013    0.013    0.898    0.898 {built-in method show}
      296    0.012    0.000    0.023    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:445(draw_robot_speeds)
     2368    0.012    0.000    0.012    0.000 {built-in method pixmap}
    11684    0.012    0.000    0.027    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsWidget.py:48(boundingRect)
    10392    0.012    0.000    0.012    0.000 {built-in method setPen}
      733    0.012    0.000    0.012    0.000 {method 'copy' of 'numpy.ndarray' objects}
       49    0.012    0.000    0.012    0.000 {method 'connect' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
     5346    0.011    0.000    0.014    0.000 {function ChildGroup.itemChange at 0x7f7e70846e50}
      888    0.010    0.000    0.010    0.000 {built-in method drawEllipse}
     5452    0.010    0.000    0.019    0.000 /usr/lib/python3.8/enum.py:75(__setitem__)
     2668    0.010    0.000    0.025    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/thread_safe_buffer.py:39(get)
       40    0.010    0.000    0.010    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:1126(glTexSubImage2D)
     4428    0.009    0.000    0.009    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:39(createCircle)
5346/5322    0.009    0.000    0.051    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsObject.py:21(itemChange)
     8358    0.009    0.000    0.009    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/LegendItem.py:346(boundingRect)
      296    0.008    0.000    0.328    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:483(paint)
